from_stop_id,to_stop_id,dist,from_route_id,to_route_id,schedule_precedence
98934,98381,0.3,,,
99425,98381,0.37,,,
98381,97508,0.35,,,
97508,98381,0.35,,,
98383,97136,0.44,,,
97136,98383,0.44,,,
98383,98302,0.25,,,
98302,98383,0.25,,,
131167,131152,0.14,,,
131152,131184,0.26,,,
131184,131152,0.26,,,
131152,131346,0.33,,,
131346,131152,0.33,,,
131152,131414,0.29,,,
131414,131152,0.29,,,
131152,131692,0.24,,,
131692,131152,0.24,,,
131152,130433,0.38,,,
130433,131152,0.38,,,
131152,130919,0.1,,,
130919,131152,0.1,,,
163943,163923,0.29,,,
163293,163923,0.47,,,
163943,163929,0.13,,,
163929,163963,0.42,,,
163963,163929,0.42,,,
163929,163968,0.5,,,
163968,163929,0.5,,,
162941,163929,0.44,,,
163293,163929,0.35,,,
65630,65635,0.13,,,
65630,65870,0.39,,,
65870,65630,0.39,,,
65630,65599,0.37,,,
65599,65630,0.37,,,
65630,65950,0.17,,,
65950,65630,0.17,,,
65630,65969,0.18,,,
65969,65630,0.18,,,
65630,66324,0.45,,,
66324,65630,0.45,,,
65630,66346,0.28,,,
66346,65630,0.28,,,
66375,65630,0.28,,,
65630,66381,0.36,,,
65630,66388,0.45,,,
66388,65630,0.45,,,
65630,64550,0.41,,,
64550,65630,0.41,,,
65630,64925,0.45,,,
64925,65630,0.45,,,
65630,65241,0.39,,,
65241,65630,0.39,,,
131167,131184,0.12,,,
131167,131346,0.47,,,
131167,131414,0.42,,,
131167,131692,0.34,,,
131167,130433,0.3,,,
131167,130919,0.2,,,
65754,65635,0.25,,,
65635,65599,0.5,,,
65599,65635,0.5,,,
65635,65950,0.28,,,
65950,65635,0.28,,,
65969,65635,0.12,,,
65635,66346,0.35,,,
66346,65635,0.35,,,
66358,65635,0.28,,,
66375,65635,0.25,,,
65635,66381,0.28,,,
66381,65635,0.28,,,
65635,66388,0.36,,,
66388,65635,0.36,,,
65635,66397,0.46,,,
66397,65635,0.46,,,
64550,65635,0.39,,,
163943,163963,0.29,,,
163943,163968,0.37,,,
163943,163974,0.49,,,
131184,131692,0.45,,,
131184,129845,0.49,,,
131184,130433,0.28,,,
131184,130919,0.32,,,
130919,131184,0.32,,,
98421,98423,0.35,,,
98423,98421,0.35,,,
98421,98831,0.38,,,
98831,98421,0.38,,,
98421,98956,0.45,,,
98956,98421,0.45,,,
98421,99140,0.32,,,
98421,99332,0.4,,,
99472,98421,0.44,,,
98421,99521,0.41,,,
99521,98421,0.41,,,
98421,99630,0.42,,,
99630,98421,0.42,,,
98421,97461,0.47,,,
97461,98421,0.47,,,
98421,97916,0.43,,,
97916,98421,0.43,,,
98421,97973,0.39,,,
97973,98421,0.39,,,
98423,98661,0.31,,,
98661,98423,0.31,,,
98423,99027,0.31,,,
99027,98423,0.31,,,
98423,99140,0.32,,,
99140,98423,0.32,,,
99287,98423,0.33,,,
98423,99332,0.35,,,
99332,98423,0.35,,,
99472,98423,0.4,,,
99521,98423,0.44,,,
