fare_id,route_id,origin_id,destination_id,contains_id
METRO_1Z,1_1132,3,3,
METRO_2Z,1_1132,4,3,
METRO_1Z,1_1133,4,4,
METRO_2Z,1_1133,3,4,
METRO_1Z,1_1133,3,3,
METRO_2Z,1_1133,4,3,
METRO_1Z,1_1134,4,4,
METRO_2Z,1_1134,3,4,
METRO_1Z,1_1134,3,3,
METRO_1Z,1_1139,3,3,
METRO_1Z,1_1140,3,3,
METRO_1Z,1_1143,4,4,
METRO_2Z,1_1143,3,4,
METRO_1Z,1_1143,3,3,
METRO_1Z,1_1148,3,3,
METRO_1Z,1_1149,3,3,
METRO_1Z,1_1150,4,4,
METRO_2Z,1_1150,3,4,
METRO_1Z,1_1150,3,3,
METRO_2Z,1_1150,4,3,
METRO_1Z,1_1152,4,4,
METRO_2Z,1_1152,3,4,
METRO_1Z,1_1152,3,3,
METRO_1Z,1_1153,3,3,
METRO_1Z,1_1154,4,4,
METRO_2Z,1_1154,3,4,
METRO_1Z,1_1154,3,3,
METRO_1Z,1_1155,3,3,
METRO_1Z,1_1156,3,3,
METRO_1Z,1_1157,4,4,
METRO_2Z,1_1157,3,4,
METRO_1Z,1_1157,3,3,
METRO_1Z,1_1158,4,4,
METRO_2Z,1_1158,3,4,
METRO_1Z,1_1158,3,3,
METRO_1Z,1_1159,4,4,
METRO_2Z,1_1159,3,4,
METRO_1Z,1_1159,3,3,
METRO_1Z,1_1161,4,4,
METRO_2Z,1_1161,3,4,
METRO_1Z,1_1161,3,3,
METRO_1Z,1_1162,4,4,
METRO_2Z,1_1162,3,4,
METRO_1Z,1_1162,3,3,
METRO_1Z,1_1164,3,3,
METRO_1Z,1_1166,3,3,
METRO_1Z,1_1167,4,4,
METRO_2Z,1_1167,3,4,
METRO_1Z,1_1167,3,3,
METRO_1Z,1_1168,3,3,
METRO_1Z,1_1169,3,3,
METRO_1Z,1_1173,4,4,
METRO_2Z,1_1173,3,4,
METRO_1Z,1_1173,3,3,
METRO_1Z,1_1174,3,3,
METRO_1Z,1_1175,4,4,
METRO_2Z,1_1175,3,4,
METRO_1Z,1_1175,3,3,
METRO_1Z,1_1177,4,4,
METRO_2Z,1_1177,3,4,
METRO_1Z,1_1177,3,3,
METRO_1Z,1_1179,4,4,
METRO_2Z,1_1179,3,4,
METRO_1Z,1_1179,3,3,
METRO_1Z,1_1180,3,3,
METRO_1Z,1_1181,3,3,
METRO_1Z,1_1182,5,5,
METRO_1Z,1_1182,3,3,
METRO_1Z,1_1182,3,5,
METRO_1Z,1_1182,5,3,
METRO_1Z,1_1183,3,3,
METRO_1Z,1_1187,5,5,
METRO_1Z,1_1187,5,3,
METRO_1Z,1_1187,3,3,
METRO_1Z,1_1187,3,5,
METRO_1Z,1_1190,4,4,
METRO_2Z,1_1190,3,4,
METRO_1Z,1_1190,3,3,
METRO_1Z,1_1192,4,4,
METRO_2Z,1_1192,3,4,
METRO_1Z,1_1192,3,3,
