from_stop_id,to_stop_id,transfer_type,min_transfer_time
99287,98423,0,
98423,99332,0,
99332,98423,0,
99472,98423,0,
99521,98423,0,
99737,98423,0,
98423,97945,0,
97945,98423,0,
162941,163963,0,
163293,163963,0,
162941,163968,0,
163293,163968,0,
163293,163974,0,
32904,33590,0,
33590,32904,0,
65676,65712,0,
65712,65676,0,
65676,66381,0,
66381,65676,0,
65676,66388,0,
66388,65676,0,
65676,66397,0,
66397,65676,0,
66405,65676,0,
65676,66412,0,
66412,65676,0,
65676,66423,0,
66423,65676,0,
65676,66436,0,
66436,65676,0,
65676,65344,0,
65344,65676,0,
32243,32933,0,
32933,32608,0,
32608,32933,0,
33507,32940,0,
32243,32940,0,
32940,32608,0,
32608,32940,0,
32940,32763,0,
32763,32940,0,
65712,66405,0,
66405,65712,0,
65712,66412,0,
66412,65712,0,
65712,66423,0,
66423,65712,0,
65712,66436,0,
66436,65712,0,
66789,65712,0,
67164,65712,0,
65712,66542,0,
66542,65712,0,
64662,65712,0,
65712,64797,0,
64797,65712,0,
65712,65049,0,
65049,65712,0,
65712,65239,0,
65239,65712,0,
65344,65712,0,
65712,65355,0,
65355,65712,0,
131549,131265,0,
131558,131265,0,
164035,164064,0,
164064,164035,0,
164035,164664,0,
164664,164035,0,
65754,65870,0,
65870,65754,0,
65754,65599,0,
65599,65754,0,
65754,65950,0,
65950,65754,0,
65754,65969,0,
65969,65754,0,
65754,66311,0,
65754,66315,0,
65754,66324,0,
66324,65754,0,
65754,66346,0,
66346,65754,0,
66375,65754,0,
65754,66381,0,
65754,64561,0,
64561,65754,0,
65754,64925,0,
64925,65754,0,
65754,65241,0,
65241,65754,0,
98523,97136,0,
97136,98523,0,
98523,98302,0,
98302,98523,0,
163877,164127,0,
164127,163877,0,
163877,164144,0,
163877,164489,0,
164489,163877,0,
163877,164495,0,
164495,163877,0,
163877,164505,0,
164505,163877,0,
163877,164533,0,
164533,163877,0,
163877,164550,0,
164550,163877,0,
164815,163877,0,
163877,164896,0,
164896,163877,0,
163877,165176,0,
165176,163877,0,
163877,164846,0,
164846,163877,0,
163877,162599,0,
162599,163877,0,
163877,183579,0,
163877,186152,0,
186152,163877,0,
163877,163072,0,
163877,163215,0,
163215,163877,0,
163877,163630,0,
163877,163692,0,
163692,163877,0,
163877,163788,0,
163877,163821,0,
163821,163877,0,
164064,164583,0,
164583,164064,0,
65762,65923,0,
65923,65762,0,
65762,66100,0,
66100,65762,0,
65762,66493,0,
66493,65762,0,
65762,66507,0,
65762,66835,0,
66835,65762,0,
65762,64716,0,
65762,64865,0,
64865,65762,0,
65762,64913,0,
65762,65062,0,
65062,65762,0,
65762,65393,0,
65393,65762,0,
65771,65870,0,
65870,65771,0,
65771,65599,0,
65599,65771,0,
65771,66275,0,
66275,65771,0,
65771,66278,0,
66278,65771,0,
65771,66286,0,
66286,65771,0,
66294,65771,0,
65771,66303,0,
66303,65771,0,
65771,66305,0,
66305,65771,0,
65771,66311,0,
66311,65771,0,
65771,66315,0,
66315,65771,0,
65771,66367,0,
65771,66688,0,
65771,67054,0,
65771,64670,0,
65771,64888,0,
65771,65068,0,
65771,65480,0,
98554,98945,0,
98945,98554,0,
98991,98554,0,
97774,98554,0,
98266,98554,0,
98281,98554,0,
98575,98740,0,
98575,98878,0,
131346,131616,0,
131616,131346,0,
131346,199215,0,
199215,131346,0,
131346,199222,0,
199222,131346,0,
131346,199347,0,
199347,131346,0,
131346,199398,0,
199398,131346,0,
131346,199216,0,
199216,131346,0,
131346,130919,0,
130919,131346,0,
164118,164127,0,
164127,164118,0,
164495,164118,0,
164118,165176,0,
165176,164118,0,
164118,163215,0,
163215,164118,0,
164118,163788,0,
163788,164118,0,
164118,163821,0,
163821,164118,0,
65815,66921,0,
98587,97438,0,
97438,98587,0,
164127,164144,0,
164144,164127,0,
164127,164489,0,
164489,164127,0,
164495,164127,0,
164505,164127,0,
164127,164533,0,
164533,164127,0,
164815,164127,0,
164127,164896,0,
164896,164127,0,
164127,165176,0,
165176,164127,0,
164127,165559,0,
165559,164127,0,
164127,186152,0,
186152,164127,0,
164127,163072,0,
163072,164127,0,
163215,164127,0,
164127,163255,0,
163255,164127,0,
164127,163385,0,
163385,164127,0,
164127,163630,0,
163630,164127,0,
164127,163817,0,
163817,164127,0,
164127,163788,0,
163788,164127,0,
16433,16491,0,
16491,16433,0,
15879,16433,0,
16186,16433,0,
16433,16187,0,
16187,16433,0,
16433,16188,0,
16188,16433,0,
16433,16197,0,
16197,16433,0,
16433,16565,0,
16565,16433,0,
16658,16433,0,
16433,16817,0,
16817,16433,0,
16433,16947,0,
16947,16433,0,
16433,16950,0,
16433,16964,0,
16964,16433,0,
16433,16966,0,
16966,16433,0,
16433,16970,0,
16433,17056,0,
17056,16433,0,
164144,164489,0,
164489,164144,0,
164144,164495,0,
164495,164144,0,
164505,164144,0,
164144,164533,0,
164533,164144,0,
164144,164550,0,
164550,164144,0,
164815,164144,0,
164144,164896,0,
164896,164144,0,
164144,165176,0,
165176,164144,0,
164144,164846,0,
164846,164144,0,
164144,186152,0,
186152,164144,0,
164144,163215,0,
163215,164144,0,
164144,163692,0,
163692,164144,0,
164144,163788,0,
163788,164144,0,
164144,163821,0,
163821,164144,0,
64725,65588,0,
65427,65588,0,
131558,131389,0,
131584,131389,0,
65865,66460,0,
66460,65865,0,
66617,65865,0,
65865,66625,0,
66625,65865,0,
65865,66635,0,
66635,65865,0,
65865,66971,0,
66971,65865,0,
65865,67326,0,
98635,99272,0,
99272,98635,0,
98635,99282,0,
99282,98635,0,
99302,98635,0,
98635,99316,0,
99316,98635,0,
65870,65969,0,
65969,65870,0,
65870,66303,0,
66303,65870,0,
65870,66305,0,
66305,65870,0,
65870,66311,0,
66311,65870,0,
65870,66315,0,
66315,65870,0,
66324,65870,0,
65870,66346,0,
66346,65870,0,
65870,66358,0,
66358,65870,0,
64561,65870,0,
65870,64803,0,
64803,65870,0,
65870,65068,0,
65068,65870,0,
131414,131616,0,
131616,131414,0,
131414,199215,0,
199215,131414,0,
131414,199222,0,
199222,131414,0,
131414,199347,0,
199347,131414,0,
131414,199398,0,
199398,131414,0,
131414,199216,0,
199216,131414,0,
131414,130919,0,
130919,131414,0,
98658,98956,0,
98956,98658,0,
98658,99425,0,
99425,98658,0,
98658,97492,0,
97492,98658,0,
98658,97916,0,
97916,98658,0,
98661,98831,0,
98831,98661,0,
98661,98956,0,
98956,98661,0,
98661,99140,0,
98661,99287,0,
99287,98661,0,
98661,99332,0,
99472,98661,0,
98661,99521,0,
99521,98661,0,
98661,99630,0,
99630,98661,0,
98661,99737,0,
99737,98661,0,
98661,99869,0,
99869,98661,0,
98661,97461,0,
97461,98661,0,
98661,97973,0,
97973,98661,0,
147599,147516,0,
147723,147516,0,
147516,148212,0,
148212,147516,0,
147516,146599,0,
146599,147516,0,
147516,146890,0,
146890,147516,0,
147516,147114,0,
147114,147516,0,
147277,147516,0,
147516,147354,0,
147354,147516,0,
147698,147516,0,
147516,147724,0,
147724,147516,0,
147516,147805,0,
147805,147516,0,
147516,147935,0,
147935,147516,0,
147516,148058,0,
148058,147516,0,
147516,148157,0,
148157,147516,0,
147516,148571,0,
148571,147516,0,
147516,148612,0,
148612,147516,0,
147516,148651,0,
148651,147516,0,
147516,147263,0,
147263,147516,0,
65907,64886,0,
64886,65907,0,
65599,66303,0,
66303,65599,0,
65599,66305,0,
66305,65599,0,
65599,66311,0,
66311,65599,0,
65599,66315,0,
66315,65599,0,
66324,65599,0,
65599,66346,0,
66346,65599,0,
65599,66358,0,
66358,65599,0,
65599,64338,0,
64338,65599,0,
64561,65599,0,
65599,64803,0,
64803,65599,0,
65599,65068,0,
65068,65599,0,
65923,66507,0,
66507,65923,0,
65923,67193,0,
67193,65923,0,
65923,67240,0,
65923,64913,0,
64913,65923,0,
65923,65049,0,
65049,65923,0,
65923,65355,0,
65355,65923,0,
131467,132466,0,
131467,130422,0,
131467,130745,0,
131467,130814,0,
131467,130815,0,
98705,98822,0,
98822,98705,0,
98705,98882,0,
98882,98705,0,
98705,99175,0,
99175,98705,0,
98705,99223,0,
