route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
1_1143,PSRC,MK143,143 BL DI-RNT-SEA NB,,3
1_1148,PSRC,MK148,148 FAIRWD-RENTON WB,,3
1_1149,PSRC,MK149,149 BLK DIA-RENTN NB,,3
1_1150,PSRC,MK150,150 AUB-KENT-SCBD NB,,3
1_1152,PSRC,MK152,152 ENUM-AUB-SCBD NB,,3
1_1153,PSRC,MK153,153 KENT-RENTON NB,,3
1_1154,PSRC,MK154,154 AUBURN-BOEING N*,,3
1_1155,PSRC,MK155,155 FAIRWD-SOCNTR WB,,3
1_1156,PSRC,MK156,156 Scnter-S Tac-De*,,3
1_1157,PSRC,MK157,157 Lake Meridian P*,,3
1_1158,PSRC,MK158,158 LK MRIDN-SCBD N*,,3
1_1159,PSRC,MK159,159 TIMBERLN-SCBD N*,,3
1_1161,PSRC,MK161,161 Lk Merid-Kent E*,,3
1_1162,PSRC,MK162,162 KENT TC-SCBD NB*,,3
1_1164,PSRC,MK164,164 GR RV CC-KENT NB,,3
1_1166,PSRC,MK166,166 DES MOIN-KENT WB,,3
1_1167,PSRC,MK167,167 AU-KNT-405-UW NB,,3
1_1168,PSRC,MK168,168 TIMBERLN-KENT WB,,3
1_1169,PSRC,MK169,169 KNT TC-RNT TC NB,,3
1_1173,PSRC,MK173,173 FEDWAY-BOEING N*,,3
1_1174,PSRC,MK174,174 FDWY-STAC-SEA NB,,3
1_1175,PSRC,MK175,175 W FED WY-SCBD N*,,3
1_1177,PSRC,MK177,177 FEDWY TC-SCBD N*,,3
1_1179,PSRC,MK179,179 TWIN LKS-SCBD N*,,3
1_1180,PSRC,MK180,180 Se Auburn-KentS*,,3
1_1181,PSRC,MK181,181 FEDWAY-AUBURN EB,,3
1_1182,PSRC,MK182,182 NE TAC-FED WY EB,,3
1_1183,PSRC,MK183,183 FEDRL WY-KENT NB,,3
1_1187,PSRC,MK187,187 TWIN LK-FEDWY WB,,3
1_1190,PSRC,MK190,190 STAR LK-SCBD NB*,,3
1_1192,PSRC,MK192,192 STAR LK-SCBD NB*,,3
1_1196,PSRC,MK196,196 S FDWY PR-SEA N*,,3
1_1197,PSRC,MK197,197 FEDERAL WY-UW NB,,3
1_1200,PSRC,MK200,200 ISSAQ-N ISSAQ NB,,3
1_1201,PSRC,MK201,201 S MI-MERCR IS N*,,3
1_1202,PSRC,MK202,202 MERCR IS-SCBD WB,,3
1_1203,PSRC,MK203,203 N MERCER ISLN EB,,3
1_1204,PSRC,MK204,204 S MI-MERCR IS NB,,3
1_1205,PSRC,MK205,205 M I-1ST HL-UW NB,,3
1_1206,PSRC,MK206,206 NWPRT HS-NEWC N*,,3
1_1207,PSRC,MK207,207 NWPRT HS-EGTE EB,,3
1_1208,PSRC,MK208,208 NWPRT HS-EGTE EB,,3
1_1209,PSRC,MK209,209 NO BND-ISSAQH EB,,3
1_1210,PSRC,MK210,210 ISSQ-EGT-SCBD W*,,3
1_1211,PSRC,MK211,211 IssaqHighlands *,,3
